Date,0981.HK,AAPL,AMD,ASML,AVGO,CGW,GLD,GOOGL,INTC,MSFT,NVDA,PICK,TLT,TSLA,TSM,USO,^TNX,^VIX
2012-02-02,,,,,,,,,,,,,,,,,,
2012-02-03,-0.02272823013933594,0.009969305810300803,0.021414108498597276,0.024895795110282858,0.003707024269999921,0.016276480660380035,-0.020137109848909707,0.018994456303782582,0.017352768066365522,0.00963631931337325,0.021080416124273964,0.011109099233406786,-0.02172313101966515,0.029318144822844942,0.010014150950282841,0.012312764679460204,0.0657364078522203,-0.05018151776708531
2012-02-06,-0.059188872727132344,0.009289489818936555,-0.02285811627493258,-0.013482328125808409,-0.023909801828534437,-0.005396289572753712,-0.002747786955391367,0.021171793412478275,-0.0007482530484988595,-0.0013237541126875352,-0.007614484797303466,-0.002670287575918517,0.009901533017414851,0.020651796162392388,-0.004279505304628635,-0.006940719658376364,-0.024936345468370667,0.037870264634729735
2012-02-07,0.02409752942634625,0.010420449102860448,0.029895469822109406,0.004219151905188304,0.00813013516750225,0.004417417216102753,0.014961121796296195,-0.003816220294228201,-0.0029987263962734136,0.0049545242660510936,0.0025443336124935847,-0.0022943573421951536,-0.012478376460046674,-0.0063089371522689185,0.004279505304628648,0.01647218196846661,0.03362092629018017,-0.006212988685224795
2012-02-08,0.04652008272237256,0.016604832227369817,0.01669021838975939,0.00353895421007581,0.008637943339886338,0.0,-0.0070964044645123875,0.005063230593205956,0.007852138231955673,0.010162790231773708,0.03557366375157537,0.01028379396023398,0.0007740036478003933,0.010388919238713943,0.009915058290863794,0.0023687377992348663,0.004567408588364066,0.028485603004440523
2012-02-09,0.0,0.03400854257875755,-0.0013802940824721576,0.0030863443911908995,0.007141723321145601,-0.0024516188007537064,-0.002852704427427749,0.002636633830637511,0.00037243608444068196,0.0035808036665870213,-0.000613500674420323,-0.009518270562236326,-0.0075051565772115865,0.020152353669375636,0.006322463255299025,0.007594665418580717,0.035806862710248515,0.025551774795347742
2012-02-10,0.0,0.0005072228669282068,-0.026593530905343835,-0.0039700865319251665,-0.01838580256590658,-0.013343518014679548,-0.005251264443437007,-0.009118235978357044,-0.005974763815875297,-0.008813255355159831,-0.024846256266827495,-0.03266243202102399,0.012903954468588927,-0.046490901099337636,-0.03129675852990325,-0.008120578062902055,-0.03884948268071738,0.10969900634075187
2012-02-13,-0.011428739421586523,0.01843412033000149,0.03347589690901844,-0.005762282265697145,0.00923529959632727,0.008422175096681665,0.0022112372609914763,0.010327571364311826,0.0,0.0026193681741733693,0.015601032456835529,0.01724202181336945,0.0012819033657692019,0.012462228672274044,0.019320506136711102,0.017468784117334706,0.010608853074291309,-0.08793006845919248
2012-02-14,-0.011560756120584237,0.01355624417639562,0.004106810636441731,0.013467355623019671,-0.008655387889791847,-0.0004936003859151957,-0.002330930151636942,-0.003993563662252742,0.0029917930071213334,-0.004288153016651982,0.005557336735139488,-0.03639669988503173,0.005278956412479272,0.05197581955794693,0.004948885087188332,0.0038695141340584715,-0.03372827839772894,0.02592161602100748
2012-02-15,0.03428898625992027,-0.02341394097835169,-0.0027359771418190757,-0.0041754868154338,0.013527171595736343,-0.00494789013752301,0.0059064426447289235,-0.006911786332320004,-0.007496178046060238,-0.006633654632177536,-0.004319647610859456,0.008425442762577881,-0.0017852797826575378,0.012880352535364617,0.009824798671069791,0.008715772953713553,0.003631635352116867,0.07870325810156545
2012-02-16,-0.011299490717749354,0.009081109483872767,0.03895723722893624,0.026940604381935924,0.024846040254598453,0.016236439696961615,-0.0006545512723762022,0.0015839525253465755,0.00936173036256042,0.040435874962526146,0.01716775017881659,-0.006815022327741186,-0.008029081953349558,0.017114740946180134,0.014558018410867967,0.002549032103836022,0.03160305605991765,-0.09521558375363749
